Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port,category
-1,115,1,1,-1,1,6,0.0,10227,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1,0,Fake
-1,39,1,1,1,1,1,-1.0,0,-1,1,66.67,0.0,0.0,0.0,0.0,0.0,95.349,100.0,100.0,100.0,0.0,1,0,0,Fake
-1,137,-1,1,1,1,1,0.0,2557,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,96.078,100.0,0.0,100.0,0.0,1,1,0,Fake
-1,138,1,1,1,1,1,0.0,2557,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,96.078,100.0,0.0,100.0,0.0,1,1,0,Fake
1,63,1,1,1,1,2,,3653,1,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,24.0,33.333,91.667,0.0,1,1,0,Fake
-1,50,-1,1,1,1,2,,11322,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,Fake
1,36,1,1,1,1,2,,0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Fake
-1,211,-1,1,1,1,4,0.0,0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Fake
-1,41,1,1,1,1,2,0.0,3653,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,1,1,0,Fake
-1,125,1,1,1,1,3,0.0,1096,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Fake
1,52,1,1,1,1,2,0.0,731,1,1,16.67,0.0,0.0,0.0,0.0,0.0,35.484,29.231,23.529,23.529,0.0,1,1,0,Fake
-1,137,-1,1,1,1,1,0.0,2557,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,96.078,100.0,0.0,100.0,0.0,1,1,0,Fake
-1,24,1,1,1,1,1,0.0,2192,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,1,0,Fake
1,25,1,1,1,1,1,,365,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,1,1,0,Fake
1,24,1,1,1,1,1,,365,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,1,1,0,Fake
1,19,1,1,1,1,1,-1.0,3653,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,0,Fake
1,43,-1,1,1,1,2,1.0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,1,0,0,Fake
1,42,-1,1,1,1,2,1.0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,1,0,0,Fake
1,43,1,1,1,1,2,1.0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,1,0,0,Fake
1,44,1,1,1,1,2,1.0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,1,0,0,Fake
-1,54,1,1,1,1,3,,0,-1,1,100.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,100.0,100.0,0.0,1,0,0,Fake
1,50,1,1,1,1,3,,0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,66.667,100.0,0.0,1,0,0,Fake
