Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
-1,289,1,1,1,1,1,1.0,366,1,1,100.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0,1,0
-1,289,1,1,1,1,1,1.0,366,1,1,100.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0,1,0
1,99,-1,1,1,1,1,,1096,1,1,100.0,0,0,0,0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
-1,62,-1,-1,1,1,1,-1.0,366,1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0,1,0
-1,286,1,-1,1,1,2,1.0,0,1,1,0.0,0,0,0,0,0.0,13.158,0.0,9.091,25.0,0.0,1,1,0
-1,162,1,1,1,1,1,,366,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,53,-1,1,1,1,2,-1.0,366,-1,1,100.0,0,0,0,0,0.0,100.0,100.0,100.0,100.0,0.0,1,1,0
1,36,1,1,1,1,1,1.0,366,-1,1,100.0,0,0,0,0,0.0,100.0,0.0,100.0,100.0,0.0,1,1,0
1,31,1,1,1,1,3,1.0,366,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,30,1,1,1,1,3,1.0,366,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,52,1,1,1,1,2,1.0,2191,-1,1,100.0,0,0,0,0,100.0,93.75,100.0,100.0,100.0,0.0,1,1,0
-1,42,-1,1,1,1,2,1.0,2191,-1,1,100.0,0,0,0,0,100.0,93.75,100.0,100.0,100.0,0.0,1,1,0
-1,33,1,1,1,1,2,0.0,1096,-1,1,0.0,0,0,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0,1,0
-1,58,1,1,1,1,2,1.0,5367,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,41,1,1,1,1,2,,0,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1,88,-1,1,1,1,2,-1.0,0,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,-1,0,0
-1,21,-1,1,1,1,1,1.0,0,1,1,0.0,0,0,0,0,0.0,60.0,0.0,0.0,100.0,0.0,1,1,0
-1,109,1,-1,1,1,2,1.0,731,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,72,-1,1,1,1,2,-1.0,1461,-1,1,100.0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,0.0,1,1,0
1,64,-1,1,1,1,1,1.0,1827,-1,1,100.0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,0
1,66,-1,1,-1,1,1,1.0,3288,-1,1,100.0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1,1,0
-1,64,1,1,1,1,4,1.0,0,-1,1,0.0,0,0,0,0,0.0,66.667,0.0,0.0,100.0,0.0,1,1,0
-1,67,1,1,1,1,5,1.0,0,-1,1,0.0,0,0,0,0,0.0,66.667,0.0,0.0,100.0,0.0,1,1,0
1,100,1,1,1,1,1,,1096,1,1,100.0,0,0,0,0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,95,-1,1,1,1,1,-1.0,366,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,90,1,1,1,1,2,1.0,1095,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,88,1,1,1,1,1,1.0,1461,-1,1,100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,34,1,1,1,1,1,1.0,1825,1,1,0.0,0,0,0,0,0.0,8.333,2.941,4.545,14.286,0.0,1,1,0
1,33,-1,1,1,1,2,-1.0,365,-1,1,0.0,0,0,0,0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,56,1,1,1,1,1,,366,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,52,1,1,1,1,1,,366,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,104,1,-1,1,1,2,1.0,731,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,53,1,1,1,1,5,1.0,366,1,1,100.0,0,0,0,0,0.0,90.0,0.0,95.833,100.0,0.0,1,1,0
-1,55,1,1,1,1,5,1.0,366,1,1,100.0,0,0,0,0,0.0,90.0,0.0,95.833,100.0,0.0,1,1,0
-1,211,1,1,1,1,1,1.0,1825,1,1,0.0,0,0,0,0,0.0,8.333,2.941,4.545,14.286,0.0,1,1,0
-1,234,-1,1,1,1,1,1.0,1461,1,1,100.0,0,0,0,0,0.0,100.0,100.0,0.0,100.0,0.0,1,1,0
-1,311,1,1,1,1,1,1.0,5113,-1,1,0.0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,0
-1,156,1,1,1,1,1,1.0,5113,-1,1,0.0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,0
-1,155,1,1,1,1,1,1.0,5113,-1,1,0.0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,0
-1,311,1,1,1,1,1,1.0,5113,-1,1,0.0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,0
-1,77,1,1,1,1,2,-1.0,1461,-1,1,100.0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,0.0,1,1,0
-1,76,-1,1,1,1,2,-1.0,1461,-1,1,100.0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,0.0,1,1,0
-1,76,1,1,1,1,2,-1.0,1461,-1,1,100.0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,0.0,1,1,0
-1,75,-1,1,1,1,2,-1.0,1461,-1,1,100.0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,0.0,1,1,0
-1,70,-1,1,1,1,2,-1.0,1461,-1,1,100.0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,0.0,1,1,0
-1,71,1,1,1,1,2,-1.0,1461,-1,1,100.0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,0.0,1,1,0
-1,79,-1,1,1,1,2,0.0,5844,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,1,0
-1,83,-1,1,1,1,2,0.0,5844,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,1,0
1,91,1,1,1,1,2,1.0,1095,-1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
