Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
1,17,1,1,1,1,1,,9131,1,1,0.0,0.0,0,0,0.0,0.0,4.781,44.98,47.368,56.0,0.0,1,1,0
1,16,1,1,1,1,1,1.0,4383,1,1,0.0,0.0,0,0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0,1,0
1,16,1,1,1,1,1,,6210,-1,1,0.0,0.0,0,0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,1,1,0
1,27,-1,1,1,1,1,1.0,2922,1,1,100.0,0.0,0,0,0.0,0.0,0.0,0.0,42.857,100.0,0.0,0,1,0
1,17,1,1,1,1,1,1.0,6210,-1,1,50.0,0.0,0,0,0.0,0.0,0.0,16.094,33.908,88.889,0.0,0,1,0
1,16,1,1,1,1,1,,7438,-1,1,0.0,0.0,0,0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,1,1,0
1,23,-1,1,1,1,1,,8766,-1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,16,1,1,1,1,1,0.0,9862,1,1,98.36,0.0,0,0,100.0,0.0,4.01,91.915,9.362,86.364,0.0,1,1,0
1,17,1,1,1,1,1,1.0,8765,-1,1,100.0,0.0,0,0,0.0,0.0,4.749,75.0,100.0,90.0,0.0,1,1,0
1,19,1,1,1,1,1,1.0,6575,1,1,35.71,0.0,0,0,0.0,0.0,0.312,0.0,74.79,85.714,0.0,1,1,0
1,16,1,1,1,1,1,,7461,-1,1,0.0,0.0,0,0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,1,1,0
1,19,1,1,1,1,1,-1.0,6939,1,1,0.0,0.0,0,0,0.0,0.0,1.053,0.0,20.0,0.0,0.0,1,1,0
1,16,1,1,1,1,2,1.0,0,-1,1,0.0,0.0,0,0,0.0,0.0,0.862,50.0,8.982,0.0,0.0,1,1,0
1,18,1,1,1,1,1,,6575,-1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,21,1,1,1,1,1,-1.0,2192,-1,1,0.0,0.0,0,0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,1,1,0
1,16,1,1,1,1,1,1.0,6315,-1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,21,1,1,1,1,1,,4749,1,1,0.0,0.0,0,0,0.0,0.0,0.0,6.061,0.0,6.667,0.0,1,1,0
1,17,-1,1,1,1,1,1.0,5114,-1,1,100.0,0.0,0,0,0.0,0.0,95.481,100.0,100.0,100.0,0.0,1,1,0
1,20,1,1,1,1,1,1.0,4383,1,1,18.18,0.0,0,0,0.0,0.0,8.19,0.0,39.394,0.0,0.0,1,1,0
1,16,1,1,1,1,1,1.0,9496,1,1,0.0,0.0,0,0,0.0,0.0,15.0,0.0,5.556,0.0,0.0,1,1,0
1,16,1,1,1,1,1,1.0,4383,-1,1,100.0,0.0,0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
-1,20,-1,1,1,1,1,1.0,0,-1,1,33.33,0.0,0,0,100.0,0.0,98.291,100.0,100.0,100.0,0.0,1,1,0
1,19,1,1,1,1,1,,8401,1,1,3.8,0.0,0,0,0.0,100.0,1.624,0.0,66.667,90.909,0.0,1,1,0
1,19,1,1,1,1,2,,8036,-1,1,0.0,0.0,0,0,0.0,0.0,3.704,0.0,0.0,0.0,0.0,1,1,0
1,20,1,1,1,1,2,,6574,-1,1,0.0,0.0,0,0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,1,1,0
1,19,1,1,1,1,1,1.0,2922,1,1,100.0,0.0,0,0,100.0,0.0,6.452,85.032,51.163,100.0,0.0,1,1,0
1,23,1,1,1,1,1,,4749,-1,1,33.33,0.0,0,0,0.0,100.0,51.515,0.0,80.0,83.333,0.0,1,1,0
1,17,-1,1,1,1,1,1.0,8399,1,1,0.0,0.0,0,0,0.0,0.0,3.125,0.0,36.207,12.766,0.0,1,1,0
1,20,1,1,1,1,2,,6574,-1,1,0.0,0.0,0,0,0.0,0.0,3.704,0.0,0.0,0.0,0.0,1,1,0
1,15,1,1,1,1,1,1.0,9132,-1,1,0.0,0.0,0,0,0.0,0.0,22.422,0.0,0.0,0.0,0.0,1,1,0
1,18,1,1,1,1,1,1.0,10957,-1,1,0.0,0.0,0,0,0.0,0.0,3.279,0.0,0.0,0.0,0.0,1,1,0
1,20,-1,1,1,1,1,,5113,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,9.091,0.0,1,1,0
1,16,1,1,1,1,1,-1.0,8035,-1,1,0.0,0.0,0,0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,20,1,1,1,1,2,,0,-1,1,0.0,0.0,0,0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,1,1,0
1,20,1,1,1,1,1,1.0,4018,-1,1,0.0,0.0,0,0,0.0,0.0,0.0,50.0,75.0,20.455,0.0,0,1,0
1,21,1,1,1,1,1,,10593,1,1,14.75,0.0,0,0,0.0,0.0,3.352,0.0,12.5,37.5,0.0,1,1,0
-1,16,1,1,1,1,1,1.0,7305,1,1,1.16,0.0,0,0,0.0,100.0,1.937,66.102,81.818,80.0,0.0,1,1,0
1,16,1,1,1,1,1,1.0,5844,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,22.727,5.263,0.0,0,1,0
1,11,1,1,1,1,1,1.0,3652,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1,20,1,1,1,1,2,,7377,-1,1,0.0,0.0,0,0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,1,1,0
1,21,-1,1,1,1,1,1.0,9861,-1,1,0.0,0.0,0,0,0.0,0.0,4.304,0.0,0.0,0.0,0.0,1,1,0
1,17,-1,1,1,1,1,0.0,8455,-1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0,1,0
1,21,1,1,1,1,1,1.0,4607,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1,1,0
-1,17,1,1,1,1,1,,4383,1,1,0.0,0.0,0,0,0.0,100.0,13.636,0.0,100.0,100.0,0.0,1,1,0
1,18,1,1,1,1,1,0.0,5478,-1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
