Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
-1,81,1,1,1,1,3,0.0,731,-1,1,0.0,0,0,0.0,0.0,0.0,100.0,0.0,66.667,100.0,0.0,1,1,0
-1,81,1,1,1,1,3,0.0,731,-1,1,0.0,0,0,0.0,0.0,0.0,100.0,0.0,66.667,100.0,0.0,1,1,0
-1,73,1,1,1,1,1,,3287,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,77,1,1,1,1,2,0.0,731,-1,1,0.0,0,0,0.0,0.0,0.0,100.0,0.0,66.667,100.0,0.0,1,1,0
-1,77,1,1,1,1,2,0.0,731,-1,1,0.0,0,0,0.0,0.0,0.0,100.0,0.0,66.667,100.0,0.0,1,1,0
1,40,1,1,1,1,2,-1.0,8400,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,1,1,0
1,33,1,1,1,1,2,,3288,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,54,1,1,1,1,1,,2940,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,92,1,1,1,1,1,,2557,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,106,1,1,1,1,2,0.0,4018,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,122,1,1,1,1,2,0.0,4018,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,147,1,1,1,1,2,,0,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1,74,1,1,1,1,1,,3287,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,33,1,1,1,1,1,,8765,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,34,1,1,1,1,1,,8765,-1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,78,1,1,1,1,2,0.0,731,-1,1,0.0,0,0,0.0,0.0,0.0,100.0,0.0,66.667,100.0,0.0,1,1,0
-1,78,1,1,1,1,2,0.0,731,-1,1,0.0,0,0,0.0,0.0,0.0,100.0,0.0,66.667,100.0,0.0,1,1,0
