Having_IP_Address,URL_Length,Shortening_Service,Having_At_Symbol,Double_Slash_Redirecting,Prefix_Suffix,Having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_Token,PctImageTags,PctAudioTags,PctVideoTags,PctTrackTags,PctSourceTags,PctIframeTags,URL_of_Anchor,PctMetaTags,PctScriptTags,PctLinkTags,SFH,Submit_to_Email,Abnormal Url,Port
1,17,-1,1,1,1,2,,11610,-1,1,0.0,0,0,0,0.0,0.0,36.696,0.0,92.308,83.333,0.0,1,1,0
-1,23,1,1,1,1,1,1.0,0,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1,1,0
1,18,1,1,1,1,1,0.0,6210,-1,1,100.0,0,0,0,0.0,100.0,14.901,0.0,0.0,0.0,0.0,1,1,0
1,19,1,1,1,1,1,,6209,1,1,6.4,0,0,0,0.0,100.0,10.553,16.667,75.0,30.769,0.0,1,1,0
1,24,1,1,1,1,1,0.0,8766,-1,1,100.0,0,0,0,0.0,100.0,5.333,48.485,21.053,46.154,0.0,1,1,0
1,27,1,1,1,1,2,,7669,1,1,1.89,0,0,0,0.0,100.0,1.176,8.333,63.636,33.333,0.0,1,1,0
1,21,1,1,1,1,1,1.0,4383,1,1,100.0,0,0,0,0.0,100.0,24.138,81.395,86.842,53.846,0.0,1,1,0
1,21,-1,1,1,1,1,,1096,1,1,54.08,0,0,0,0.0,100.0,45.0,23.81,15.385,10.0,0.0,1,1,0
1,17,1,1,1,1,1,,4383,-1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1,21,-1,1,1,1,1,1.0,5114,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1,1,0
-1,18,1,1,1,1,1,0.0,7670,1,1,0.85,0,0,0,0.0,0.0,2.599,49.345,62.5,9.091,0.0,1,1,0
-1,14,1,1,1,1,1,-1.0,5479,1,1,4.17,0,0,0,0.0,100.0,20.37,0.0,25.0,0.0,0.0,1,1,0
1,23,1,1,1,1,1,-1.0,8400,1,1,100.0,0,0,0,0.0,0.0,9.665,50.0,86.364,45.455,0.0,1,1,0
1,16,1,1,1,1,1,0.0,9860,1,1,0.0,0,0,0,0.0,0.0,7.843,18.75,24.39,1.786,0.0,1,1,0
1,21,-1,1,1,1,1,1.0,1461,1,1,0.0,0,0,0,0.0,0.0,0.0,68.421,100.0,28.571,0.0,1,1,0
1,19,-1,1,1,1,1,0.0,2192,1,1,1.72,0,0,0,0.0,100.0,13.483,67.742,100.0,80.0,0.0,1,1,0
1,13,1,1,1,1,1,1.0,1826,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
-1,18,0,1,1,1,1,0.0,1461,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,23,1,1,1,1,1,,0,-1,1,0.0,0,0,0,0.0,0.0,35.714,0.0,100.0,100.0,0.0,1,1,0
1,22,1,1,1,1,1,,9131,1,1,0.0,0,0,0,0.0,100.0,0.615,6.593,15.789,46.154,0.0,1,1,0
1,23,1,1,1,1,2,,5113,-1,1,0.0,0,0,0,0.0,0.0,3.75,0.0,100.0,70.0,0.0,1,1,0
1,19,1,1,1,1,1,0.0,4748,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,37,1,1,1,1,1,0.0,1096,-1,1,0.0,0,0,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,1,1,0
1,25,1,1,1,1,1,,5479,1,1,0.0,0,0,0,0.0,100.0,23.708,16.463,35.484,0.0,0.0,1,1,0
1,28,1,1,1,1,1,-1.0,8036,1,1,100.0,0,0,0,0.0,0.0,12.941,50.0,90.909,91.667,0.0,1,1,0
1,18,1,1,1,1,1,1.0,5844,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,19,1,1,1,1,1,-1.0,5844,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
1,23,1,1,1,1,1,1.0,8765,1,1,33.33,0,0,0,0.0,0.0,1.636,17.822,30.233,19.048,0.0,1,1,0
1,28,1,1,1,1,1,-1.0,2557,1,1,0.0,0,0,0,0.0,0.0,13.953,100.0,100.0,100.0,0.0,1,1,0
1,13,-1,1,1,1,1,1.0,10957,1,1,63.64,0,0,0,0.0,0.0,14.151,53.846,100.0,60.0,0.0,1,1,0
1,17,-1,1,1,1,1,,5479,1,1,0.0,0,0,0,0.0,0.0,15.385,60.0,12.195,81.25,0.0,1,1,0
1,22,1,1,1,1,1,,1826,1,1,0.0,0,0,0,0.0,0.0,0.0,27.907,28.571,25.0,0.0,1,1,0
1,15,1,1,1,1,1,1.0,0,1,1,5.56,0,0,0,0.0,100.0,14.286,9.091,42.105,11.111,0.0,1,1,0
1,19,1,1,1,1,1,0.0,7670,1,1,4.0,0,0,0,0.0,100.0,22.634,45.0,29.167,0.0,0.0,1,1,0
1,17,-1,1,1,1,1,-1.0,0,-1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,21,1,1,1,1,1,1.0,3287,1,1,2.63,0,0,0,0.0,100.0,2.941,0.0,100.0,85.714,0.0,1,1,0
